2021-01-25,25 de enero,lunes,12:39,como siempre,"",""
2021-01-25,25 de enero,lunes,9:07,como siempre,"",""
2021-01-25,25 de enero,lunes,8:01,ansioso,"",""
2021-01-24,24 de enero,domingo,18:11,como siempre,"",""
2021-01-24,24 de enero,domingo,12:30,ansioso,"",""
2021-01-24,24 de enero,domingo,9:01,como siempre,"",""
2021-01-23,23 de enero,sábado,18:00,Sin animo,"",""
2021-01-23,23 de enero,sábado,12:30,como siempre,"",""
2021-01-23,23 de enero,sábado,9:03,Pos bien,"",""
2021-01-22,22 de enero,viernes,19:32,como siempre,"",""
2021-01-21,21 de enero,jueves,18:50,Sin animo,"",""
2021-01-21,21 de enero,jueves,12:51,como siempre,"",""
2021-01-21,21 de enero,jueves,9:22,Sin animo,"",""
2021-01-20,20 de enero,miércoles,18:16,Sin animo,"",""
2021-01-20,20 de enero,miércoles,12:34,como siempre,"",""
2021-01-20,20 de enero,miércoles,9:17,como siempre,"",""
2021-01-19,19 de enero,martes,18:32,como siempre,"",""
2021-01-19,19 de enero,martes,13:30,Pos bien,"",""
2021-01-19,19 de enero,martes,9:13,como siempre,"",""
2021-01-18,18 de enero,lunes,18:00,como siempre,"",""
2021-01-18,18 de enero,lunes,12:30,como siempre,"",""
2021-01-18,18 de enero,lunes,10:24,como siempre,"",""
2021-01-17,17 de enero,domingo,18:01,como siempre,"",""
2021-01-17,17 de enero,domingo,13:29,Pos bien,"",""
2021-01-17,17 de enero,domingo,9:03,como siempre,"",""
2021-01-16,16 de enero,sábado,18:04,como siempre,"",""
2021-01-16,16 de enero,sábado,12:30,Sin animo,"",""
2021-01-16,16 de enero,sábado,9:15,Sin animo,"",""
2021-01-15,15 de enero,viernes,21:53,Sin animo,"",""
2021-01-15,15 de enero,viernes,18:00,como siempre,"",""
2021-01-15,15 de enero,viernes,12:36,como siempre,"",""
2021-01-15,15 de enero,viernes,9:21,Pos bien,"",""
2021-01-14,14 de enero,jueves,18:05,Sin animo,"",""
2021-01-14,14 de enero,jueves,12:37,Sin animo,"",""
2021-01-14,14 de enero,jueves,9:40,como siempre,"",""
2021-01-13,13 de enero,miércoles,18:29,Sin animo,"",""
2021-01-13,13 de enero,miércoles,12:36,como siempre,"",""
2021-01-13,13 de enero,miércoles,9:10,como siempre,"",""
2021-01-12,12 de enero,martes,18:31,mal,"",""
2021-01-12,12 de enero,martes,13:09,mal,"",""
2021-01-12,12 de enero,martes,9:12,como siempre,"",""
2021-01-11,11 de enero,lunes,20:54,mal,"",""
2021-01-11,11 de enero,lunes,18:25,Pos bien,"",""
2021-01-11,11 de enero,lunes,12:30,como siempre,"",""
2021-01-11,11 de enero,lunes,9:43,como siempre,"",""
2021-01-10,10 de enero,domingo,20:06,mal,"",""
2021-01-10,10 de enero,domingo,18:01,Pos bien,"",""
2021-01-10,10 de enero,domingo,12:42,Pos bien,"",""
2021-01-10,10 de enero,domingo,9:06,Sin animo,"",""
2021-01-09,9 de enero,sábado,19:26,como siempre,"",""
2021-01-09,9 de enero,sábado,13:11,como siempre,"",""
2021-01-09,9 de enero,sábado,9:05,Sin animo,"",""
2021-01-08,8 de enero,viernes,18:00,mal,"",""
2021-01-08,8 de enero,viernes,12:31,como siempre,"",""
